"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"10","Olaya Herrera","Polideportivo","Cr 51 B # 27 A","https://goo.gl/maps/fX4GEyWbYEokcUK69"
"10","Victor Felix","Cancha de Minifutbol","Cll 19 A # 51 A","https://goo.gl/maps/C5c5H7woaCZPZbTG9"
"10","Las camelias","polideportivo","Cra. 51b 27 a 2","https://goo.gl/maps/oy76f3Zv6SsbseMG6"
"10","Antonio Baraya","PARQUES BIOSALUDABLES","Carrera 51 Calle 24","s/d"
"10","CIC San Miguel Arcangel","PARQUES BIOSALUDABLES","Carrera 53 Calle 18","s/d"
"10","Ciudad Salitre","PARQUES BIOSALUDABLES","Calle 17 B Carrera 54 y","s/d"
"10","La Rioja","PARQUES BIOSALUDABLES","Carrera 45 B calle 21","s/d"
"10","Los Colores","PARQUES BIOSALUDABLES","Carrera 43 A Calle 21 B","s/d"
"10","Parque Biblioteca Metropolitano","PARQUES BIOSALUDABLES","Carrera 50 Calle 19","s/d"
"10","Santander","PARQUES BIOSALUDABLES","Carrera 45 Calle 25","s/d"
"10","San Bernardo","PARQUES BIOSALUDABLES","Carrera52 B Calle 30","s/d"
"10","Siglo XXI","PARQUES BIOSALUDABLES","55Carrera 51A calle 22","s/d"
"10","Las camelias","PARQUES BIOSALUDABLES","Cra. 51b 27 a 2","s/d"
"10","Víctor Félix","PARQUES BIBLIOTECA","Parque Biblioteca Metropolitano","s/d"
"10","Enrique Olaya Herrera","PARQUE INFANTILES","Calle 27 A 51 – 45","s/d"
"10","Antonio Baraya","PARQUE INFANTILES","Calle 24A 51B -20","s/d"
"10","Barrio San Bernardo","PARQUE INFANTILES","Calle 29 con Carrera 52","s/d"
"10","Barrio La Rioja","PARQUE INFANTILES","Calle 20B con carrera 46 A","s/d"
"10","Metropolitano","PARQUE INFANTILES","Parque metropolitano","s/d"
"ZONA RURAL","Corregimiento El Caguan","Polideportivo","Centro poblado","Centro poblado"
"ZONA RURAL","Corregimiento El Caguan","Polideportivo","Centro poblado","Centro poblado"
"ZONA RURAL","Corregimiento Vegalarga","Polideportivo","Centro poblado","Centro poblado"
"ZONA RURAL","Corregimiento Vegalarga","Polideportivo","Centro poblado","Centro poblado"
"ZONA RURAL","Aipecito","PARQUES BIOSALUDABLES","Centro Poblado","Centro poblado"
"ZONA RURAL","Chapinero","PARQUES BIOSALUDABLES","Centro Poblado","Centro poblado"
"ZONA RURAL","Chapinero","PARQUES BIOSALUDABLES","Vereda El Diamante","Centro poblado"
"ZONA RURAL","El Caguán","PARQUES BIOSALUDABLES","Vereda El Triunfo","Centro poblado"
"ZONA RURAL","Fortalecillas","PARQUES BIOSALUDABLES","Centro Poblado","Centro poblado"
"ZONA RURAL","Guacirco","PARQUES BIOSALUDABLES","Centro Poblado","Centro poblado"
"ZONA RURAL","Río Ceibas","PARQUES BIOSALUDABLES","Vereda Santa Elena","Centro poblado"
"ZONA RURAL","San Luis","PARQUES BIOSALUDABLES","Centro Poblado","Centro poblado"
"ZONA RURAL","Vegalarga","PARQUES BIOSALUDABLES","Vereda San Antonio","Centro poblado"
"ZONA RURAL","Vegalarga","PARQUES BIOSALUDABLES","Vereda El Colegio","Centro poblado"
"ZONA RURAL","Chapinero","PARQUE INFANTILES","Centro Poblado","Centro poblado"
"ZONA RURAL","Fortalecillas","PARQUE INFANTILES","Los Almendros","Centro poblado"
"ZONA RURAL","Aipecito","PARQUE INFANTILES","Centro Poblado","Centro poblado"
"ZONA RURAL","Caguán","PARQUE INFANTILES","Los Pomos","Centro poblado"
"ZONA RURAL","Guacirco","PARQUE INFANTILES","Centro Poblado","Centro poblado"
"ZONA RURAL","San Antonio de Anaconia","PARQUE INFANTILES","Centro Poblado","Centro poblado"
"ZONA RURAL","San Luis","PARQUE INFANTILES","Centro Poblado","Centro poblado"
"ZONA RURAL","Vegalarga","PARQUE INFANTILES","Vereda la Espiga","Centro poblado"
