"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"2","Prado Norte","Polideportivo","Cra 18 D Calle 47 B","https://goo.gl/maps/qgCvM7qMtABJ1JZV7"
"2","Prado Norte","Voleibol Arena","Cra 18 D Calle 47 B","https://goo.gl/maps/3Bs49zDjdmgfVh7L6"
"2","Los Pinos","Polideportivo","Cra 23 Calle 46","https://goo.gl/maps/rXwUqN8ekmMDMFso6"
"2","Caña Brava","Polideportivo","Cra. 28 52 - 03","https://goo.gl/maps/oZ3PhHmQr81mDLkR9"
"2","Caña Brava","Cancha de Minifútbol Arena","Cra. 28 52 - 04","https://goo.gl/maps/oZ3PhHmQr81mDLkR10"
"2","Aeropuerto","Polideportivo","Cl 25B 6b2","https://goo.gl/maps/RsazKqqu6smB7jAv6"
"2","CIC Ciudadela El Coclí","PARQUES BIOSALUDABLES","Calle 62 Carrera 22 A","s/d"
"2","Los Cipreses","PARQUES BIOSALUDABLES","Calle 51 Carrera 24","s/d"
"2","Las Granjas","PARQUES BIOSALUDABLES","Carrera 7 Calle 43","s/d"
"2","Prado  Norte","PARQUES BIOSALUDABLES","Calle 47 Carrera 20","s/d"
"2","Gualanday","PARQUES BIOSALUDABLES","Avenida 26 calle 43","s/d"
"2","Aeropuerto","PARQUES BIOSALUDABLES","Cl 25B 6b2","s/d"
"2","Los Molinos","PARQUES BIOSALUDABLES","Carrera 8 D calle 37","s/d"
"2","Los Pinos","PARQUE INFANTILES","Calle 46 22 65","s/d"
"2","Las Granjas","PARQUE INFANTILES","K 7 43 50","s/d"
"2","Gualanday","PARQUE INFANTILES","carrera 16 entre calles 36 y 37","s/d"
"3","El Lago","Polideportivo","Cll 22 No. 1 B - 25","https://goo.gl/maps/7dM88XHsg8Jc2cF5A"
"3","El Lago","Voleibol Arena","Cr 1C No. 21 – 51","https://goo.gl/maps/52vUvfEWHBLKppM37"
"3","Caracolí","Polideportivo","Cra 1 Calle 16","https://goo.gl/maps/RBKEHhm3z2Jy83tJ9"
"3","Campo Núñez","Polideportivo","Calle 18 # 8A-27","https://goo.gl/maps/JdPvDCxyYzvuGtHZ9"
"3","Chapinero","Polideportivo","Cll 14 No, 10 - 22","https://goo.gl/maps/wQUT2xmSQVcKGLuv8"
"3","Campo Núñez","PARQUES BIOSALUDABLES","Carrera 8 Calle 18","s/d"
"3","El Lago","PARQUES BIOSALUDABLES","Carrera 1 B Calle 24","s/d"
"3","Leesburg kit 1","PARQUES BIOSALUDABLES","Carrera 7 Calle 21","s/d"
"3","Leesburg kit 2","PARQUES BIOSALUDABLES","Carrera 7 Calle 21","s/d"
"3","Parque La Rebeca","PARQUES BIOSALUDABLES","Carrera 1 F Calle 23 A","s/d"
"3","Rojas Trujillo","PARQUES BIBLIOTECA","Parque La Rebeca","s/d"
"3","El lago","PARQUE INFANTILES","Carrera 1 C Calle 22","s/d"
"3","Chapinero","PARQUE INFANTILES","Calle 14 con carrera 10 frente","s/d"
"3","Chapinero","PARQUE INFANTILES","a la escuela Gabino Charry","s/d"
"3","Parque Leesburg - Parque","PARQUE INFANTILES","Carrera 7 con Calle 21","s/d"
"3","Grande","PARQUE INFANTILES","Carrera 7 con Calle 22","s/d"
